,Estado,Sembrada_ha,Cosechada_ha,Año,Mes
496,Campeche,1762,1025.0,2007,4
497,Chiapas,45124,40206.0,2007,4
498,Guerrero,103,95.0,2007,4
499,Hidalgo,4668,3918.0,2007,4
500,Jalisco,1964,1964.0,2007,4
501,Nayarit,42576,41801.0,2007,4
502,Oaxaca,3309,1171.0,2007,4
503,Quintana roo,2870,2707.0,2007,4
504,San luis potosi,1768,303.0,2007,4
505,Sinaloa,12298,9230.0,2007,4
506,Tabasco,4620,2707.0,2007,4
507,Tamaulipas,714,457.0,2007,4
508,Veracruz,21110,13972.0,2007,4
509,Yucatan,334,272.0,2007,4
510,Total,143792,119827.0,2007,4
511,Campeche,2802,2075.0,2007,5
512,Chiapas,45124,43114.0,2007,5
513,Chihuahua,8,3.0,2007,5
514,Guerrero,103,103.0,2007,5
515,Hidalgo,4668,4583.0,2007,5
516,Jalisco,1964,1964.0,2007,5
517,Nayarit,42576,41801.0,2007,5
518,Oaxaca,3319,3319.0,2007,5
519,Puebla,356,16.0,2007,5
520,Quintana roo,2870,2707.0,2007,5
521,San luis potosi,1768,1768.0,2007,5
522,Sinaloa,12298,9230.0,2007,5
523,Tabasco,4620,3627.0,2007,5
524,Tamaulipas,714,567.0,2007,5
525,Veracruz,21110,20128.0,2007,5
526,Yucatan,334,272.0,2007,5
527,Total,144842,135275.0,2007,5
528,Campeche,2802,2737.0,2007,6
529,Chiapas,45124,44680.0,2007,6
530,Chihuahua,8,5.0,2007,6
531,Guerrero,103,103.0,2007,6
532,Hidalgo,4668,4668.0,2007,6
533,Jalisco,1964,1964.0,2007,6
534,Michoacan,210,150.0,2007,6
535,Nayarit,42576,41801.0,2007,6
536,Oaxaca,3319,3319.0,2007,6
537,Puebla,356,346.0,2007,6
538,Quintana roo,2870,2707.0,2007,6
539,San luis potosi,1768,1768.0,2007,6
540,Sinaloa,12298,9230.0,2007,6
541,Tabasco,4624,3988.0,2007,6
542,Tamaulipas,714,597.0,2007,6
543,Veracruz,21110,20288.0,2007,6
544,Yucatan,334,272.0,2007,6
545,Total,144846,138621.0,2007,6
546,Campeche,2802,2737.0,2007,7
547,Chiapas,45124,44969.0,2007,7
548,Chihuahua,8,5.0,2007,7
549,Guerrero,103,103.0,2007,7
550,Hidalgo,4668,4668.0,2007,7
551,Jalisco,1964,1964.0,2007,7
552,Michoacan,210,150.0,2007,7
553,Nayarit,42576,41801.0,2007,7
554,Oaxaca,3319,3319.0,2007,7
555,Puebla,356,356.0,2007,7
556,Quintana roo,2870,2707.0,2007,7
557,San luis potosi,1768,1768.0,2007,7
558,Sinaloa,12298,11730.0,2007,7
559,Tabasco,4624,3988.0,2007,7
560,Tamaulipas,714,627.0,2007,7
561,Veracruz,21128,20444.0,2007,7
562,Yucatan,334,272.0,2007,7
563,Total,144863,141607.0,2007,7
564,Campeche,2802,2737.0,2007,8
565,Chiapas,45124,44969.0,2007,8
566,Chihuahua,8,5.0,2007,8
567,Guerrero,103,103.0,2007,8
568,Hidalgo,4668,4668.0,2007,8
569,Jalisco,1964,1964.0,2007,8
570,Michoacan,210,152.0,2007,8
571,Nayarit,42576,41801.0,2007,8
572,Oaxaca,3319,3319.0,2007,8
573,Puebla,356,356.0,2007,8
574,Quintana roo,2870,2707.0,2007,8
575,San luis potosi,1768,1768.0,2007,8
576,Sinaloa,12298,11730.0,2007,8
577,Tabasco,4624,4003.0,2007,8
578,Tamaulipas,714,714.0,2007,8
579,Veracruz,21128,20842.0,2007,8
580,Yucatan,334,272.0,2007,8
581,Total,144863,142108.0,2007,8
582,Campeche,2802,2737.0,2007,9
583,Chiapas,45124,44969.0,2007,9
584,Chihuahua,8,5.0,2007,9
585,Guerrero,103,103.0,2007,9
586,Hidalgo,4668,4668.0,2007,9
587,Jalisco,1964,1964.0,2007,9
588,Michoacan,210,210.0,2007,9
589,Nayarit,42576,41801.0,2007,9
