,Estado,Año,Mes,SPI
453,Aguascalientes,1988,10,-0.754444444
454,Aguascalientes,1988,11,-0.290555556
455,Aguascalientes,1988,12,-0.168888889
456,Aguascalientes,1989,1,-0.442222222
457,Aguascalientes,1989,2,-0.103333333
458,Aguascalientes,1989,3,0.341111111
459,Aguascalientes,1989,4,-0.02
460,Aguascalientes,1989,5,0.239444444
461,Aguascalientes,1989,6,-0.958333333
462,Aguascalientes,1989,7,-1.001111111
463,Aguascalientes,1989,8,0.992222222
464,Aguascalientes,1989,9,-0.488888889
465,Aguascalientes,1989,10,-0.911111111
466,Aguascalientes,1989,11,0.842222222
467,Aguascalientes,1989,12,1.351111111
468,Aguascalientes,1990,1,0.18
469,Aguascalientes,1990,2,0.981111111
470,Aguascalientes,1990,3,0.492222222
471,Aguascalientes,1990,4,0.129444444
472,Aguascalientes,1990,5,0.603333333
473,Aguascalientes,1990,6,-0.653333333
474,Aguascalientes,1990,7,0.879444444
475,Aguascalientes,1990,8,1.138888889
476,Aguascalientes,1990,9,0.292222222
477,Aguascalientes,1990,10,0.883888889
478,Aguascalientes,1990,11,-0.345
479,Aguascalientes,1990,12,-0.385
480,Aguascalientes,1991,1,-0.413888889
481,Aguascalientes,1991,2,0.275555556
482,Aguascalientes,1991,3,0.341111111
483,Aguascalientes,1991,4,-0.104444444
484,Aguascalientes,1991,5,-1.046111111
485,Aguascalientes,1991,6,-0.027777778
486,Aguascalientes,1991,7,2.816111111
487,Aguascalientes,1991,8,-0.957777778
488,Aguascalientes,1991,9,0.598333333
489,Aguascalientes,1991,10,-0.291666667
490,Aguascalientes,1991,11,-0.171111111
491,Aguascalientes,1991,12,0.775555556
492,Aguascalientes,1992,1,3.132777778
493,Aguascalientes,1992,2,0.262777778
494,Aguascalientes,1992,3,0.500555556
495,Aguascalientes,1992,4,0.520555556
496,Aguascalientes,1992,5,0.496111111
497,Aguascalientes,1992,6,-0.807222222
498,Aguascalientes,1992,7,-0.262222222
499,Aguascalientes,1992,8,-0.168333333
500,Aguascalientes,1992,9,-1.028333333
501,Aguascalientes,1992,10,1.880555556
502,Aguascalientes,1992,11,1.13
503,Aguascalientes,1992,12,0.13
504,Aguascalientes,1993,1,0.695
505,Aguascalientes,1993,2,-0.16
506,Aguascalientes,1993,3,0.361111111
507,Aguascalientes,1993,4,0.017777778
508,Aguascalientes,1993,5,-0.046666667
509,Aguascalientes,1993,6,0.653333333
510,Aguascalientes,1993,7,-0.066111111
511,Aguascalientes,1993,8,-0.342222222
512,Aguascalientes,1993,9,-0.451111111
513,Aguascalientes,1993,10,-0.155555556
514,Aguascalientes,1993,11,-0.174444444
515,Aguascalientes,1993,12,-0.389444444
516,Aguascalientes,1994,1,0.272222222
517,Aguascalientes,1994,2,-0.173888889
518,Aguascalientes,1994,3,0.363333333
519,Aguascalientes,1994,4,0.987777778
520,Aguascalientes,1994,5,-0.345555556
521,Aguascalientes,1994,6,0.647777778
522,Aguascalientes,1994,7,-1.082222222
523,Aguascalientes,1994,8,-0.221666667
524,Aguascalientes,1994,9,-0.078333333
525,Aguascalientes,1994,10,0.409444444
526,Aguascalientes,1994,11,-0.314444444
527,Aguascalientes,1994,12,-0.276111111
528,Aguascalientes,1995,1,-0.171111111
529,Aguascalientes,1995,2,0.063888889
530,Aguascalientes,1995,3,0.341111111
531,Aguascalientes,1995,4,-0.163333333
532,Aguascalientes,1995,5,-0.266111111
533,Aguascalientes,1995,6,-0.26
534,Aguascalientes,1995,7,-0.050555556
535,Aguascalientes,1995,8,0.974444444
536,Aguascalientes,1995,9,0.431666667
537,Aguascalientes,1995,10,-1.311111111
538,Aguascalientes,1995,11,0.193888889
539,Aguascalientes,1995,12,0.548333333
540,Aguascalientes,1996,1,-0.528888889
541,Aguascalientes,1996,2,-0.101666667
542,Aguascalientes,1996,3,0.156666667
543,Aguascalientes,1996,4,0.715555556
544,Aguascalientes,1996,5,-0.446666667
545,Aguascalientes,1996,6,-0.375
546,Aguascalientes,1996,7,-1.026111111
547,Aguascalientes,1996,8,-0.043888889
548,Aguascalientes,1996,9,0.765555556
549,Aguascalientes,1996,10,0.919444444
550,Aguascalientes,1996,11,-0.072777778
551,Aguascalientes,1996,12,-0.370555556
552,Aguascalientes,1997,1,0.805
553,Aguascalientes,1997,2,0.642222222
554,Aguascalientes,1997,3,1.226666667
